"ResultType","Message"
"700032","Invalid certificate - Trusted Certificate Subjects for application are missing"
"700033","For asserting custom_claims, client must provide either xms_actor_token or subject name issuer certificate with custom claim allowed values."
"700034","Client assertion contains an invalid xms_actor_token claim."
"700035","Client assertion contains custom_claims in the incorrect format."
"700036","Client is not authorized to override managed identity claim in the token."
"700042","The reply address does not match the reply addresses configured for the application."
"700043","The redirect address '{address}' does not match the redirect addresses configured for service identity '{serviceId}'."
"700044","The redirect address '{address}' corresponding to this authorization code does not match the redirect address '{requestAddress}' specified in the request."
"700045","Redirect address '{address}' specified by the client does not match any configured addresses '{configuredAddress}' or any addresses on the OIDC approve list."
"700046","Invalid Reply Address. Reply Address must have scheme brk-{brkApplicationId}:// and be of Single Page Application type."
"700047","Invalid Reply Address. Broker must use Single-Page Application Reply Address."
"700048","Client assertion contains an invalid xms_actor_token claim. The audience of the claim is not correctly set."
"700049","Claim override is only allowed for User Assigned Managed Service Identities. Make sure the caller app is a Managed Identity, and the override is being done for a User Assigned identity."
"700050","Actor token is not within its valid time range. Current time: {curTime}, expiry time of actor token {expTime}."
"700051","response_type 'token' is not enabled for the application."
"700052","The token request contains one or more unsupported response token type(s): '{ResType}'."
"700053","response_type 'id_token' requires the 'openid' scope."
"700054","response_type 'id_token' is not enabled for the application."
"700055","Redirection to B2C first party app is permitted only to the /authresp endpoint."
"700056","User account does not exist in organization."
"700081","The refresh token has expired due to maximum lifetime. The token was issued on {issueDate} and the maximum allowed lifetime for this application is {time}."
"700082","The refresh token has expired due to inactivity. The token was issued on {issueDate} and was inactive for {time}."
"700083","The primary refresh token has expired due to maximum lifetime. The token was issued on {issueDate} and the maximum allowed lifetime for this application is {time}."
"700084","The refresh token was issued to a single page app (SPA), and therefore has a fixed, limited lifetime of {time}, which cannot be extended. It is now expired and a new sign in request must be sent by the SPA to the sign in page. The token was issued on {issueDate}."
"900143","'{name}' is required for the '{type}' grant type."
"900144","The request body must contain the following parameter: '{name}'."
"900941","Administrator consent is required. App is considered risky."
"900942","Admin consent is required in order to allow token to be issued for clients to access resource."
"1000015","Direct federation users are not expected to have home tenant."
"1000018","Realm with domain '{domain}' is not an external realm."
"1000019","The provided certificate authority type '{certificateAuthorityType}' is not valid."
"1000020","The provided application '{applicationId}' may not be used on this endpoint."
"1000021","External Claims Provider unavailable: general exception."
"1000022","External Claims Provider unavailable: WebException status code '{status}'."
"1000023","The GitHub access token forwarded exceeds the configured length of '{sizeLimit}'."
"1000024","Requested claim 'ClientIpReportedByRP' should have a single and valid ip address."
"1000025","Received invalid stk_jwk."
"1000026","Received invalid Primary Refresh Token."
"1000027","Session Transport Key is not present."
"1000028","Received invalid Windows SSO Credential."
"1000029","The provided confirmation request (req_cnf or pop_jwk) is not properly formatted."
"1000030","Microsoft Account granted Refresh Token Credential is not supported on AAD tenant."
"1000031","Application {appDisplayName} cannot be accessed at this time. Contact your administrator."
"1000032","Received invalid stk_jwk key thumbprint."
"1000033","Stk_jwk key doesn't match session transport key thumbprint specified at the beginning of the session."
"1000034","Stk_jwk key must not be submitted via x5c."
"1000035","There was an error issuing Bound RT token."
"1000036","BoundRT use as a bearer refresh token is unsupported."
"1000037","Stk_jwk thumbprint is not provided for SSO Bound RT redemption."
"1000038","Received invalid req_cnf key thumbprint."
"1000039","Req_cnf key '{kid}' doesn't match proof of possession key thumbprint specified at the beginning of the session."
"1000040","Received invalid dk_jwk key thumbprint."
"1000501","Unable to read session document from Session Store."
"1000502","The provided certificate is not within its specified validity window."
"1000503","Request contains mismatched device ids."
"1002007","Missing required roles to access token evaluation data endpoint, roles present in the token is {roles}"
"1002008","Unable to authorize to the token evaluation data endpoint. Tenant Identifier in the request: {requestTenant} does not match tenant identifier in the token: {tenantIdInToken}"
"1002009","Unable to authorize to the token evaluation data endpoint. Unexpected scope present in the bearer token, app delegation(service principal obo) token is not supported to access the endpoint."
"1002010","There was an error on fetching revocaton data or issue with token evaluation data endpoint."
"1002011","The tenant branding cdn domains are not configured for the private link."
"1002012","The provided value for scope {scope} is not valid. Client credential flows must have a scope value with /.default suffixed to the resource identifier (application ID URI)."
"1002014","Unable to complete request. The request was invalid since domain_hint and opaque login_hint cannot be used together."
"1002016","You are using TLS version 1.0, 1.1 and/or 3DES cipher which are deprecated to improve the security posture of Azure AD. Your TenantID is: {tenantId}. Please refer to https://go.microsoft.com/fwlink/?linkid=2161187 and conduct needed actions to remediate the issue. For further questions, please contact your administrator."
"1002017","Bad Request. The passed logout_hint cannot be parsed."
"1002021","The version of client library you are using is not supported for accessing resources in another Microsoft cloud as a guest."
"1002022","A transient error occurred while attempting to fetch bloom filter data. Please try again later."
"1002023","Invalid grant. Device authentication is required from a specific tenant."
"1002024","A primary refresh token must be redeemed with a prt protocol version."
"1003022","The MS Graph service principal is disabled or not found in this tenant."
"1003023","The endpoint used for the custom extension is blocked by the service."
"1003024","The custom extension response size exceeded the maximum limit."
"1003025","The total size of claims in the custom extension response exceeded the maximum limit."
"1003026","The custom extension API responded with claims containing null or empty key."
"1003027","Error connecting to the custom extension API."
"1003030","A transient error occurred while authenticating an MSA (consumer) user."
"1003031","Misconfigured required resource access in client application registration."
"1003032","The bluestone storage account in TokenEvaluationData endpoint has not been successfully initialized"
"1003033","The remote ngc session was denied."
"1003034","Your organization is not configured to sign in this type of personal Microsoft account. Visit https://aka.ms/MSAUnprotectedAccountsGuidance for more details."
"1003035","The json web key supplied is invalid."
"1003036","Partitioned token signing key feature is not set properly."
"1003037","It looks like you may already have an account with us using this email address. Try signing in again with another identity provider."
"1003038","Root token signing key is not found."
"1003039","Partitioned token signing key is not found."
"5000611","Symmetric Key Derivation Function version '{version}' is invalid."
"5001210","Unsupported transport key format."
"5001211","Unable to create primary refresh token."
"5001212","Device authentication is required to issue primary refresh token."
"5001213","Windows Integrated authentication is needed. Unable to use Seamless SSO to authenticate the user."
"5001214","Authentication failed."
"7000011","Requested SAML 2.0 assertion has invalid SubjectConfirmation Method: {method}."
"7000012","The grant was obtained for a different tenant."
"7000013","The grant is not supported by API version {apiVersion}."
"7000014","The provided value for the input parameter 'device_code' is not valid."
"7000015","The grant was obtained for a different tenant."
"7000016","Primary refresh token is not signed with session key."
"7000017","Broker restricted refresh token can't be used as credential."
"7000018","Token binding header is empty."
"7000019","Token binding hash does not match."
"7000020","SAML 2.0 Bearer assertion must be a valid Base64Url encoded value."
"7000021","Unrecognized grant type {type}."
"7000022","VSM Binding Key missing from Ticket Granting Ticket request."
"7000023","VSM Binding key mismatch."
"7000024","Inconsistent broker application IDs asserted by incoming credentials."
"7000025","Ambiguous request. The grant contains duplicate claims."
"7000026","Provided grant is invalid or malformed. The grant requires an encrypted response, but the client is not indicating it understands encrypted responses."
"7000027","An emergency refresh token is present but rejected."
"7000028","Attestation key is required for this request but it doesn't exist in the device. Please consider re-enrolling the device."
"7000029","The token binding claim is invalid because it was not generated on the same device as attestation key. Please verify the legitimacy of the device."
"7000030","The token binding claim is invalid because the thumbprint of binding key does not match the thumbprint in the binding claim or the thumbprint in the binding claim is missing. Please verify the legitimacy of the device."
"7000031","The signing algorithm {algorithm} of attestation key is not supported. Please consider re-enrolling the device and update the attestation key."
"7000032","The security enclave type {enclave} of the token binding key is unknown. Please consider re-enrolling the device."
"7000110","Request is ambiguous, multiple application identifiers found."
"7000112","Application '{appIdentifier}'({appName}) is disabled."
"7000113","Application '{appIdentifier}' is not authorized to make application on-behalf-of calls."
"7000114","Application '{appIdentifier}' is not allowed to make application on-behalf-of calls."
"7000115","This grant is reedemable only by broker application."
"7000116","Client application '{appIdentifier}'({appName}) is disabled in tenant {tenant}. Please review the documentation: https://go.microsoft.com/fwlink/?linkid=2167553"
"7000117","Resource application '{appIdentifier}'({appName}) is disabled in tenant {tenant}. Please review the documentation: https://go.microsoft.com/fwlink/?linkid=2167553"
"7000210","Unable to find source of Trusted Certificate Authority policy."
"7000211","Trusted Certificate Authority policy is not configured on the tenant '{tenantId}'."
"7000212","No matching Trusted Certificate Authority policy found for authorized subject name."
"7000213","Invalid certificate chain."
"7000214","Certificate has been revoked."
"7000215","Invalid client secret provided. Ensure the secret being sent in the request is the client secret value, not the client secret ID, for a secret added to app '{identifier}'."
"7000216","'client_assertion', 'client_secret' or 'request' is required for the 'client_credentials' grant type."
"7000217","The service principal named {appPhrase} was not found in the tenant named {tenant_name}. This can happen if the application has not been installed by the administrator of the tenant."
"7000218","The request body must contain the following parameter: 'client_assertion' or 'client_secret'."
"7000219","'client_assertion' or 'client_secret' is required for the '{type}' grant type."
"7000220","Client application identifier in the provided grant doesn't match 'client_id' parameter."
"7000221","Certificate Subject must match Issuer claim in the client assertion."
"7000222","The provided client secret keys for app '{identifier}' are expired. Visit the Azure portal to create new keys for your app: https://aka.ms/NewClientSecret, or consider using certificate credentials for added security: https://aka.ms/certCreds."
"7000223","Application {brokerAppId} is not authorized to broker tokens."
"7000224","Application {childAppId} is not authorized to have tokens brokered on its behalf."
"7000225","Invalid credentials: An MSI certificate was included in the request for the app, but the app (object ID: {oid}, application id: {clientId}) is not an MSI. Ensure that your code is matching MSI identities and certificates appropriately."
"7000226","No federated identity credential policy found on application ({appid}). The client_assertion used to authenticate the request does not match the subject or application being requested.  Ensure that the application ID in the request is correct, that the app has a policy applied to it, and that the correct client_assertion is being provided in the request."
"7000227","No Federated Identity Credential policy found on application that matched the presented MSI-signed client assertion. Expecting a Federated Identity Credential with subject: '{msiSpid}', issuer: '{expectedIssuer}' and audience: '{expectedAudience}'."
"7000228","Application {brokerAppId} is not authorized to broker tokens."
"7000229","The client application {appId} is missing service principal in the tenant {tenantId}. See instructions here: https://go.microsoft.com/fwlink/?linkid=2225119"
"9002316","Invalid request. Cannot select consumer user session if the endpoint does not support consumer logout."
"9002317","Invalid issuer specified."
"9002318","Invalid request. Cannot select consumer user session and enterprise user session at the same time."
"9002319","Public clients can't send a client secret."
"9002320","The realm '{realm}' is not a configured realm of the tenant."
"9002321","No credentials found with the necessary validated claims that map to external user information."
"9002322","Protected forwarded token request is not in correct format."
"9002323","Certificate must be a valid base64 encoded certificate."
"9002324","Request should not contain more than one client credential parameters, this includes 'client_secret', 'client_assertion' and 'request' parameters."
"9002325","Proof Key for Code Exchange is required for cross-origin authorization code redemption."
"9002326","Cross-origin token redemption is permitted only for the 'Single-Page Application' client-type. Request origin: '{origin}'."
"9002327","Tokens issued for the 'Single-Page Application' client-type may only be redeemed via cross-origin requests."
"9002328","Invalid request. Cannot use /common or /consumers on admin-consent. Please specify the tenant in GUID or friendly name format OR generically reference it with /organizations."
"9002329","Misconfigured client or resource Service Principal '{appId}'. Missing Salt Key."
"9002330","Invalid Request. Wam_compat version is not supported."
"9002331","Application '{principalId}'({principalName}) is configured for use by Microsoft Account users only. Please use the /consumers endpoint to serve this request."
"9002332","Application '{principalId}'({principalName}) is configured for use by Azure Active Directory users only. Please do not use the /consumers endpoint to serve this request."
"9002333","Invalid request. The RDP request is missing the PoP key via req_cnf."
"9002334","Invalid request. The RDP logon request is missing the RDP assertion."
"9002335","Invalid request. The RDP assertion is invalid or is missing mandatory properties."
"9002336","Invalid RDP request."
